C11314,Memory,SRAM,IS62WV25616BLL-55TLI,TSOP-44_10.2x18.4x0.8P,44,ISSI(Integrated Silicon Solution),Extended,2.5V ~ 3.6V Volatile Parallel 4Mb (256K x 16) TSOPII-44 SRAM ROHS,https://datasheet.lcsc.com/lcsc/1804240710_ISSI-Integrated-Silicon-Solution-IS62WV25616BLL-55TLI_C11314.pdf,1-9:4.070866142,10-29:3.562204724,500-999:3.333858268,30-99:3.469291339,2000-3999:3.245669291,4000-:3.218897638,100-499:3.376377953,1000-1999:3.283464567,0,
C11315,Memory,SRAM,IS62WV51216BLL-55TLI,TSOP-44_10.2x18.4x0.8P,44,ISSI(Integrated Silicon Solution),Extended,2.5V ~ 3.6V Volatile Parallel 8Mb (512K x 16) TSOPII-44 SRAM ROHS,https://datasheet.lcsc.com/lcsc/1809192314_ISSI-Integrated-Silicon-Solution-IS62WV51216BLL-55TLI_C11315.pdf,1-9:11.694488189,10-29:10.595275591,30-99:10.422047244,104-499:10.162204724,500-999:9.976377953,102-103:10.162204724,1000-:9.976377953,100-101:10.162204724,1283,
C11320,Memory,NOR FLASH,SST39VF3201-70-4C-EKE,TSOP-48_12.0x18.4x0.5P,48,Microchip Tech,Extended,32Mb (2M x 16) Parallel FLASH Non-Volatile TSOP-48 NOR FLASH ROHS,https://datasheet.lcsc.com/lcsc/1804240220_Microchip-Tech-SST39VF3201-70-4C-EKE_C11320.pdf,1-9:4.903937008,10-29:4.291338583,30-99:4.179527559,100-499:4.067716535,500-999:4.017322835,1000-:3.955905512,30,
C11321,Memory,NOR FLASH,SST39VF6401B-70-4C-EKE,TSOP-48_12.0x18.4x0.5P,48,Microchip Tech,Extended,64Mb (4M x 16) Parallel FLASH Non-Volatile TSOP-48 NOR FLASH ROHS,https://datasheet.lcsc.com/lcsc/1806030013_Microchip-Tech-SST39VF6401B-70-4C-EKE_C11321.pdf,500-999:4.878740157,1000-:4.878740157,102-103:4.979527559,1-9:5.806299213,10-29:5.214173228,30-99:5.119685039,104-499:4.979527559,100-101:4.979527559,0,
C11328,Memory,NAND FLASH,K9F1G08UOC-PCBO,TSOP-48_12.4x18.4x0.5P,48,Samsung,Extended,Non-Volatile Parallel 1Gb (128M x 8) FLASH TSOP-48 NAND FLASH ROHS,https://datasheet.lcsc.com/lcsc/1804240510_Samsung-K9F1G08UOC-PCBO_C11328.pdf,1-9:3.078740157,10-29:2.662992126,30-99:2.585826772,4000-:2.382677165,1000-1999:2.434645669,100-499:2.510236220,500-999:2.475590551,2000-3999:2.403149606,0,
C11330,Memory,NOR FLASH,K9GBG08U0A-SCBO,TSOP-48,48,Samsung,Extended,32Gb (4G x 8) Parallel FLASH Non-Volatile TSOP-48 NOR FLASH ROHS,https://datasheet.lcsc.com/lcsc/1804240020_Samsung-K9GBG08U0A-SCBO_C11330.pdf,1000-:3.678740157,30-99:3.908661417,104-499:3.774803150,1-9:4.562204724,500-999:3.678740157,102-103:3.774803150,100-101:3.774803150,10-29:3.996850394,0,
C113406,Memory,EEPROM,TC58BVG0S3HTA00,TSOP-48_12.0x18.4x0.5P,48,KIOXIA,Extended,2.7V ~ 3.6V Parallel 1Gb (128M x 8) TSOP-48 EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1912111436_KIOXIA-TC58BVG0S3HTA00_C113406.pdf,1-9:2.066141732,10-29:1.667716535,30-99:1.379527559,100-499:1.141732283,500-999:1.100787402,1000-:1.080314961,1281,
C113674,Memory,NOR FLASH,W25X40CLSNIG,SOIC-8_3.9x4.9x1.27P,8,Winbond Elec,Extended,4Mb (512K x 8) SPI - Dual I/O FLASH Non-Volatile SOIC-8_150mil NOR FLASH ROHS,https://datasheet.lcsc.com/lcsc/1811121615_Winbond-Elec-W25X40CLSNIG_C113674.pdf,10-29:1.659842520,100-499:1.118110236,1000-:1.056692913,1-9:2.067716535,30-99:1.363779528,500-999:1.077165354,5705,
C113767,Memory,NOR FLASH,W25Q128JVSIQ,SOIC-8_5.3x5.3x1.27P,8,Winbond Elec,Extended,128Mb (16M x 8) SPI - Dual/Quad I/O FLASH Non-Volatile SOIC-8_208mil NOR FLASH ROHS,https://datasheet.lcsc.com/lcsc/1912111437_Winbond-Elec-W25Q128JVSIQ_C113767.pdf,1-9:1.385826772,10-29:1.173228346,30-99:1.000000000,100-499:0.814173228,500-999:0.773228346,1000-:0.766929134,595,
C114412,Memory,FRAM,FM31256-GTR,SOIC-14,14,Cypress Semicon,Extended,SOIC-14_150mil FRAM ROHS,https://datasheet.lcsc.com/lcsc/1912121107_Cypress-Semicon-FM31256-GTR_C114412.pdf,30-99:3.122834646,2000-3999:2.896062992,1-9:3.730708661,500-999:2.985826772,100-499:3.028346457,10-29:3.217322835,4000-:2.870866142,1000-1999:2.935433071,0,
C114502,Memory,EEPROM,M24C02-FMN6TP,SOIC-8_3.9x4.9x1.27P,8,STMicroelectronics,Extended,1.7V ~ 5.5V I2C 2Kb (256 x 8) SOIC-8_150mil EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1809051925_STMicroelectronics-M24C02-FMN6TP_C114502.pdf,1-9:0.187874016,10-29:0.157795276,30-99:0.136062992,100-499:0.118110236,500-999:0.114960630,1000-1999:0.113543307,2000-3999:0.112283465,4000-:0.111653543,0,
C115042,Memory,EEPROM,M24M02-DRMN6TP,SOIC-8_3.9x4.9x1.27P,8,STMicroelectronics,Extended,1.8V ~ 5.5V I2C 2Mb (256K x 8) SOIC-8_150mil EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1810010714_STMicroelectronics-M24M02-DRMN6TP_C115042.pdf,1-9:3.368503937,10-29:2.829921260,30-99:2.437795276,100-499:2.114960630,500-999:2.061417323,1000-1999:2.033070866,2000-3999:2.012598425,4000-:2.000000000,15,
C115407,Memory,NOR FLASH,W25Q16JVSNIQ,SOIC-8_3.9x4.9x1.27P,8,Winbond Elec,Extended,16Mb (2M x 8) SPI - Dual/Quad NOR Flash FLASH 133MHz Non-Volatile SOIC-8 NOR FLASH ROHS,https://datasheet.lcsc.com/lcsc/1912111437_Winbond-Elec-W25Q16JVSNIQ_C115407.pdf,1-9:0.650393701,10-29:0.525984252,30-99:0.434645669,100-499:0.360629921,500-999:0.348031496,1000-1999:0.341732283,2000-3999:0.337007874,4000-:0.333858268,3605,
C115408,Memory,NOR FLASH,W25Q80DVSNIG,SOIC-8_3.9x4.9x1.27P,8,Winbond Elec,Extended,8Mb (1M x 8) SPI - Dual/Quad I/O FLASH Non-Volatile SOIC-8_150mil NOR FLASH ROHS,https://datasheet.lcsc.com/lcsc/1810171406_Winbond-Elec-W25Q80DVSNIG_C115408.pdf,1-9:0.752755906,10-29:0.611023622,30-99:0.507086614,100-499:0.422047244,500-999:0.407874016,1000-1999:0.400000000,2000-3999:0.395275591,4000-:0.392125984,1001,
C115715,Memory,SRAM,CY62167EV30LL-45ZXI,TSOP-48_12.0x18.4x0.5P,48,Cypress Semicon,Extended,2.2V ~ 3.6V Volatile Parallel 16Mb (2M x 8, 1M x 16) TSOP-48 SRAM ROHS,https://datasheet.lcsc.com/lcsc/1804241943_Cypress-Semicon-CY62167EV30LL-45ZXI_C115715.pdf,500-999:25.461417323,10-29:25.461417323,100-499:25.461417323,1-9:25.461417323,30-99:25.461417323,1000-:25.461417323,0,
