C10006,Clock and Timing,Real-time Clocks (RTC),RS5C372A-E2-F,SSOP-8_3.5x4.4x0.65P,8,Ricoh Elec Devices,Extended,HH:MM:SS (12/24 hr) YY-MM-DD I2C, 2-Wire Serial Clock/Calendar SSOP-8 Real-time Clocks (RTC) ROHS,https://datasheet.lcsc.com/lcsc/1808281011_Ricoh-Elec-Devices-RS5C372A-E2-F_C10006.pdf,1-9:1.948031496,10-29:1.902362205,30-99:1.870866142,100-499:1.840944882,500-:1.840944882,0,
C1018179,Clock and Timing,Clock Buffers, Drivers,5PB1104CMG1,VFQFN-8,8,RENESAS,Extended,VFQFN-8(2x2) Clock Buffers, Drivers ROHS,https://datasheet.lcsc.com/lcsc/2105011907_RENESAS-5PB1104CMG1_C1018179.pdf,1000-:1.996850394,200-499:2.107086614,30-199:5.444094488,1-9:5.444094488,500-999:2.033070866,10-29:5.444094488,0,
C1018180,Clock and Timing,Clock Buffers, Drivers,5PB1102CMGK,VFQFN-8,8,RENESAS,Extended,VFQFN-8(2x2) Clock Buffers, Drivers ROHS,https://datasheet.lcsc.com/lcsc/2105011907_RENESAS-5PB1102CMGK_C1018180.pdf,1000-:1.023622047,200-499:1.080314961,30-199:2.792125984,1-9:2.792125984,500-999:1.042519685,10-29:2.792125984,0,
C1018181,Clock and Timing,Clock Buffers, Drivers,5PB1108CMGK,QFN-16,16,RENESAS,Extended,QFN-16(2.5x2.5) Clock Buffers, Drivers ROHS,https://datasheet.lcsc.com/lcsc/2105011907_RENESAS-5PB1108CMGK_C1018181.pdf,1000-:1.699212598,200-499:1.793700787,30-199:4.634645669,1-9:4.634645669,500-999:1.730708661,10-29:4.634645669,0,
C1018182,Clock and Timing,Clock Buffers, Drivers,5PB1203NTGK,DFN-10,11,RENESAS,Extended,DFN-10(2x2) Clock Buffers, Drivers ROHS,https://datasheet.lcsc.com/lcsc/2104260005_RENESAS-5PB1203NTGK_C1018182.pdf,1000-:0.930708661,200-499:0.982677165,30-199:2.538582677,1-9:2.538582677,500-999:0.948031496,10-29:2.538582677,0,
C1018183,Clock and Timing,Clock Buffers, Drivers,8T39210NLGI,VFQFPN-48,49,RENESAS,Extended,VFQFPN-48(7x7) Clock Buffers, Drivers ROHS,https://datasheet.lcsc.com/lcsc/2104291136_RENESAS-8T39210NLGI_C1018183.pdf,1000-:4.192125984,200-499:4.425196850,30-199:11.433070866,1-9:11.433070866,500-999:4.269291339,10-29:11.433070866,0,
C1018184,Clock and Timing,Clock Buffers, Drivers,5P83905CMGK,QFN-16,16,RENESAS,Extended,QFN-16(2.5x2.5) Clock Buffers, Drivers ROHS,https://datasheet.lcsc.com/lcsc/2201131700_RENESAS-5P83905CMGK_C1018184.pdf,1000-:1.313385827,200-499:1.385826772,30-199:3.581102362,1-9:3.581102362,500-999:1.337007874,10-29:3.581102362,0,
C1018185,Clock and Timing,Clock Buffers, Drivers,8T73S208BNLGI,VFQFPN-32,33,RENESAS,Extended,VFQFPN-32(5x5) Clock Buffers, Drivers ROHS,https://datasheet.lcsc.com/lcsc/2105011907_RENESAS-8T73S208BNLGI_C1018185.pdf,1000-:4.135433071,200-499:4.365354331,30-199:11.278740157,1-9:11.278740157,500-999:4.212598425,10-29:11.278740157,0,
C1018186,Clock and Timing,Clock Buffers, Drivers,5P83904PGGK,TSSOP-16,16,RENESAS,Extended,TSSOP-16 Clock Buffers, Drivers ROHS,https://datasheet.lcsc.com/lcsc/2201131700_RENESAS-5P83904PGGK_C1018186.pdf,1000-:1.525984252,200-499:1.609448819,30-199:4.159055118,1-9:4.159055118,500-999:1.552755906,10-29:4.159055118,0,
C1018187,Clock and Timing,Clock Buffers, Drivers,8P34S2104NBGI,VFQFPN-28,29,RENESAS,Extended,VFQFPN-28(5x5) Clock Buffers, Drivers ROHS,https://datasheet.lcsc.com/lcsc/2201131700_RENESAS-8P34S2104NBGI_C1018187.pdf,1000-:4.576377953,200-499:4.829921260,30-199:12.480314961,1-9:12.480314961,500-999:4.659842520,10-29:12.480314961,0,
C1018188,Clock and Timing,Clock Buffers, Drivers,8S89874BKILF,VFQFPN-16,17,RENESAS,Extended,VFQFPN-16(3x3) Clock Buffers, Drivers ROHS,https://datasheet.lcsc.com/lcsc/2104280104_RENESAS-8S89874BKILF_C1018188.pdf,1000-:2.592125984,200-499:2.737007874,30-199:7.069291339,1-9:7.069291339,500-999:2.640944882,10-29:7.069291339,0,
