C13828,Pushbutton Switches & Relays,Tactile Switches,C13828,SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,4,Dongguan Guangzhu Industrial,Extended,SPST 50mA @ 12VDC Vertical Round Button 250±40gf Through Hole Tactile Switches RoHS,https://datasheet.lcsc.com/szlcsc/1912111437_Dongguan-Guangzhu-Industrial-C13828_C13828.pdf,100-290:0.032125984,1000-4990:0.022992126,10000-19990:0.021889764,40000-:0.021417323,5000-9990:0.022204724,10-90:0.039055118,300-990:0.027086614,20000-39990:0.021574803,12915,
C141973,Pushbutton Switches & Relays,Relays,6-1393243-8,RELAY-TH_6-1393243-8,8,TE Connectivity,Extended,General Purpose Non Latching 24VDC SPDT-CO Through Hole Relays RoHS,https://datasheet.lcsc.com/szlcsc/1811132014_TE-Connectivity-6-1393243-8_C141973.pdf,500-999:1.595275591,2000-3999:1.554330709,4000-:1.543307087,10-29:2.255118110,100-499:1.642519685,1-9:2.719685039,30-99:1.919685039,1000-1999:1.571653543,0,
C145852,Pushbutton Switches & Relays,Slide Switches,K3-1293S-E2,SW-TH,7,Korean Hroparts Elec,Extended,- - On-On SPDT - 5*2.75mm Slide Switches ROHS,https://datasheet.lcsc.com/lcsc/1809211432_Korean-Hroparts-Elec-K3-1293S-E2_C145852.pdf,1000-1999:0.126456693,2000-3999:0.125039370,4000-:0.124094488,1-9:0.220000000,10-29:0.182204724,30-99:0.154803150,100-499:0.132125984,500-999:0.128346457,0,
C190371,Pushbutton Switches & Relays,DIP Switches,NDS-03V,SW-TH_6P-L9.2-W9.9-P2.54-LS7.6,6,Diptronics,Extended,SPST 3 2.54mm, Full Slide (Standard) Red Through Hole DIP Switches RoHS,https://datasheet.lcsc.com/szlcsc/1809271523_Diptronics-NDS-03V_C190371.pdf,2000-3999:0.262992126,1-9:0.420472441,30-99:0.297637795,1000-1999:0.266141732,4000-:0.261417323,500-999:0.270866142,10-29:0.316535433,100-499:0.278740157,0,
C191112,Pushbutton Switches & Relays,Relays,NA-12W-K,REALY-TH,8,FUJITSU,Extended,Telecom Non Latching 12VDC DPDT Through Hole Relays RoHS,https://datasheet.lcsc.com/lcsc/1809291530_FUJITSU-NA-12W-K_C191112.pdf,10-29:0.935433071,100-499:0.825196850,1000-1999:0.788976378,4000-:0.773228346,1-9:1.234645669,30-99:0.880314961,2000-3999:0.779527559,500-999:0.800000000,0,
C221577,Pushbutton Switches & Relays,DIP Switches,BPA08SBR,SW-SMD,16,C&K,Extended,2.54mm, Full 8 SPST Slide (Standard) Black SMD DIP Switches ROHS,https://datasheet.lcsc.com/lcsc/1809292031_C&K-BPA08SBR_C221577.pdf,1-9:2.341732283,10-29:1.937007874,30-99:1.644094488,100-499:1.401574803,500-999:1.360629921,1000-:1.340157480,0,
C221891,Pushbutton Switches & Relays,Tactile Switches,PTS645VL39-2LFS,KEY-TH_PTS645VXX39XLFS,4,C&K,Extended,SPST 50mA @ 12VDC Side operation Round Button Through Hole Tactile Switches RoHS,https://datasheet.lcsc.com/szlcsc/1810121643_C-K-PTS645VL39-2LFS_C221891.pdf,1-9:0.120157480,30-99:0.080472441,2000-3999:0.069291339,500-999:0.071653543,4000-:0.068661417,10-29:0.086614173,100-499:0.074330709,1000-1999:0.070236220,0,
C221892,Pushbutton Switches & Relays,Tactile Switches,PTS645VL58-2LFS,KEY-TH_PTS645VXX39XLFS,4,C&K,Extended,SPST 50mA @ 12VDC Side operation Round Button Through Hole Tactile Switches RoHS,https://datasheet.lcsc.com/szlcsc/1810121646_C-K-PTS645VL58-2LFS_C221892.pdf,4000-:0.091968504,2000-3999:0.092755906,500-999:0.095118110,1-9:0.144094488,10-29:0.110236220,30-99:0.104094488,100-499:0.097795276,1000-1999:0.093700787,0,
C221894,Pushbutton Switches & Relays,Tactile Switches,PTS645VM83-2LFS,KEY-TH_PTS645VXX39XLFS,4,C&K,Extended,SPST 50mA @ 12VDC Side operation Round Button Through Hole Tactile Switches RoHS,https://datasheet.lcsc.com/szlcsc/1810121641_C-K-PTS645VM83-2LFS_C221894.pdf,5-45:0.107244094,150-495:0.077007874,10000-19995:0.068346457,50-145:0.081574803,500-2495:0.072283465,5000-9995:0.069133858,2500-4995:0.070236220,20000-:0.067874016,0,
C237036,Pushbutton Switches & Relays,DIP Switches,DBS2106,SW-TH_12P-L16.8-W9.9-P2.54-LS7.6,12,Knitter-switch,Extended,2.54mm, Full 6 SPST Slide (Standard) Red Through Hole,P=2.54mm DIP Switches ROHS,https://datasheet.lcsc.com/lcsc/1809201214_Knitter-switch-DBS2106_C237036.pdf,4000-:0.963779528,500-999:0.996850394,1-9:1.721259843,30-99:1.206299213,2000-3999:0.970078740,10-29:1.422047244,100-499:1.026771654,1000-1999:0.982677165,0,
C237039,Pushbutton Switches & Relays,Coded Rotary Switches,DRR3016,SW-TH_DRR3016,5,Knitter-switch,Extended,Through Hole Coded Rotary Switches ROHS,https://datasheet.lcsc.com/lcsc/1809201214_Knitter-switch-DRR3016_C237039.pdf,500-999:2.686614173,2000-3999:2.614173228,10-29:2.872440945,100-499:2.721259843,4000-:2.593700787,1-9:3.286614173,30-99:2.796850394,1000-1999:2.645669291,0,
C237042,Pushbutton Switches & Relays,Coded Rotary Switches,DRR3116,SW-TH_DRR3116,5,Knitter-switch,Extended,Through Hole Coded Rotary Switches ROHS,https://datasheet.lcsc.com/lcsc/1809201214_Knitter-switch-DRR3116_C237042.pdf,1-9:3.286614173,10-29:2.872440945,30-99:2.796850394,100-499:2.721259843,500-999:2.686614173,1000-1999:2.645669291,2000-3999:2.614173228,4000-:2.593700787,0,
