C1675973,Solders / Accessories / Batteries,Pre-ordered Products,DSC1001AL5-027.0000,OSC-SMD,5,Microchip Tech,Extended,SMD-4 Pre-ordered Products ROHS, ,1000-:0.718110236,200-499:0.757480315,30-199:1.957480315,1-9:1.957480315,500-999:0.730708661,10-29:1.957480315,0,
C1677383,Solders / Accessories / Batteries,Pre-ordered Products,SG3225VAN 148.3500M-KJGAB,SMD-6,6,Seiko Epson,Extended,SMD-6 Pre-ordered Products ROHS, ,500-999:0.918110236,1-9:2.458267717,30-199:2.458267717,10-29:2.458267717,200-499:0.952755906,1000-:0.902362205,0,
C1677385,Solders / Accessories / Batteries,Pre-ordered Products,SG3225VAN 133.2620M-KJGAB,SMD-6,6,Seiko Epson,Extended,SMD-6 Pre-ordered Products ROHS, ,500-999:0.918110236,1-9:2.458267717,30-199:2.458267717,200-499:0.952755906,1000-:0.902362205,10-29:2.458267717,0,
C1677386,Solders / Accessories / Batteries,Pre-ordered Products,SG3225VAN 100.000000M-KJBAB,SMD-6,6,Seiko Epson,Extended,SMD-6 Pre-ordered Products ROHS, ,1-9:2.458267717,10-29:2.458267717,30-199:2.458267717,200-499:0.952755906,1000-:0.902362205,500-999:0.918110236,0,
C1677390,Solders / Accessories / Batteries,Pre-ordered Products,SG3225VAN 312.5000M-KEGAB,SMD-6,6,Seiko Epson,Extended,SMD-6 Pre-ordered Products ROHS, ,1-9:2.458267717,10-29:2.458267717,30-199:2.458267717,200-499:0.952755906,1000-:0.902362205,500-999:0.918110236,0,
C1677419,Solders / Accessories / Batteries,Pre-ordered Products,SG-8002JA 1.0000M-PCMB ROHS,SMD-4_8.65X14.0X5.08P,4,Seiko Epson,Extended,SOJ-4 Pre-ordered Products ROHS,https://datasheet.lcsc.com/lcsc/2201201230_Seiko-Epson-SG-8002JA-1-0000M-PCMB-ROHS_C1677419.pdf,500-999:0.927559055,10-29:2.483464567,1-9:2.483464567,30-199:2.483464567,200-499:0.962204724,1000-:0.911811024,0,
C1677426,Solders / Accessories / Batteries,Pre-ordered Products,SG5032VAN 100.000000M-KJGAB,SMD-6,6,Seiko Epson,Extended,SMD-6 Pre-ordered Products ROHS, ,1-9:2.483464567,30-199:2.483464567,500-999:0.927559055,10-29:2.483464567,200-499:0.962204724,1000-:0.911811024,0,
C1690002,Solders / Accessories / Batteries,Pre-ordered Products,AST3TQ-T-16.384MHZ-50-SW,SMD-4,4,Abracon LLC,Extended,SMD-4 Pre-ordered Products ROHS,https://datasheet.lcsc.com/lcsc/2201201530_Abracon-LLC-AST3TQ-T-16-384MHZ-50-SW_C1690002.pdf,1-9:83.833070866,30-199:83.833070866,200-499:32.442519685,1000-:30.738582677,500-999:31.302362205,10-29:83.833070866,0,
C179899,Solders / Accessories / Batteries,Pre-ordered Products,UA78M05IKVURG3,-,3,Texas Instruments,Extended,- Pre-ordered Products ROHS, ,1000-:0.305511811,200-499:0.321259843,30-199:0.806299213,1-9:0.806299213,500-999:0.311811024,10-29:0.806299213,0,
C181583,Solders / Accessories / Batteries,Pre-ordered Products,TPS72218DBVR,-,5,Texas Instruments,Extended,- Pre-ordered Products ROHS, ,1-9:1.735433071,10-29:1.735433071,30-199:1.735433071,200-499:0.692913386,500-999:0.669291339,1000-:0.658267717,0,
C1851378,Solders / Accessories / Batteries,Pre-ordered Products,CB3LV-3I-25M000000,SMD-4,4,CTS Electronic Components,Extended,SMD-4 Pre-ordered Products ROHS, ,500-999:0.503937008,1-9:1.346456693,30-199:1.346456693,200-499:0.521259843,1000-:0.494488189,10-29:1.346456693,0,
C1851437,Solders / Accessories / Batteries,Pre-ordered Products,CB3-3C-30M000000,SMD-4,4,CTS Electronic Components,Extended,SMD-4 Pre-ordered Products ROHS, ,1-9:1.451968504,30-199:1.451968504,200-499:0.562204724,1000-:0.532283465,10-29:1.451968504,500-999:0.543307087,0,
C1857309,Solders / Accessories / Batteries,Pre-ordered Products,KC3225Z13.5600C1KX00,SMD-4,4,Kyocera,Extended,SMD-4 Pre-ordered Products ROHS, ,1-9:1.069291339,10-29:1.069291339,30-199:1.069291339,200-499:0.414173228,500-999:0.400000000,1000-:0.392125984,0,
C1884513,Solders / Accessories / Batteries,Pre-ordered Products,M1503RS-07-BK,SMD,P-1.50mm,9,XFCN,Extended,SMD,P-1.50mm Pre-ordered Products ROHS, ,30-99:0.180787402,2000-3999:0.138582677,1-9:0.273070866,500-999:0.143307087,100-499:0.148661417,10-29:0.219527559,4000-:0.137165354,1000-1999:0.140629921,0,
C1985238,Solders / Accessories / Batteries,Pre-ordered Products,CX2520DB26000H0FLJC2,CRYSTAL-SMD,4,Kyocera,Extended,SMD-4 Pre-ordered Products ROHS, ,1000-:0.218897638,200-499:0.229921260,30-199:0.595275591,1-9:0.595275591,500-999:0.222047244,10-29:0.595275591,0,
